pos,x,y,agent_type,agent_state,palm_health,drone_battery_level,drone_position_target,drone_on_mission,drone_is_charging,drone_is_curing
"(8, 4)",8,4,GridCellAgent,,,,,,,
"(8, 5)",8,5,GridCellAgent,,,,,,,
"(8, 6)",8,6,GridCellAgent,,,,,,,
"(8, 7)",8,7,GridCellAgent,,,,,,,
"(8, 8)",8,8,GridCellAgent,,,,,,,
"(8, 9)",8,9,GridCellAgent,,,,,,,
"(8, 10)",8,10,GridCellAgent,,,,,,,
"(8, 11)",8,11,GridCellAgent,,,,,,,
"(9, 0)",9,0,GridCellAgent,,,,,,,
"(9, 1)",9,1,GridCellAgent,,,,,,,
"(9, 2)",9,2,GridCellAgent,,,,,,,
"(9, 3)",9,3,GridCellAgent,,,,,,,
"(9, 4)",9,4,GridCellAgent,,,,,,,
"(9, 5)",9,5,GridCellAgent,,,,,,,
"(9, 6)",9,6,GridCellAgent,,,,,,,
"(9, 7)",9,7,GridCellAgent,,,,,,,
"(9, 8)",9,8,GridCellAgent,,,,,,,
"(9, 9)",9,9,GridCellAgent,,,,,,,
"(9, 10)",9,10,GridCellAgent,,,,,,,
"(9, 11)",9,11,GridCellAgent,,,,,,,
"(10, 0)",10,0,GridCellAgent,,,,,,,
"(10, 1)",10,1,GridCellAgent,,,,,,,
"(10, 2)",10,2,GridCellAgent,,,,,,,
"(10, 3)",10,3,GridCellAgent,,,,,,,
"(10, 4)",10,4,GridCellAgent,,,,,,,
"(10, 5)",10,5,GridCellAgent,,,,,,,
"(10, 6)",10,6,GridCellAgent,,,,,,,
"(10, 7)",10,7,GridCellAgent,,,,,,,
"(10, 8)",10,8,GridCellAgent,,,,,,,
"(10, 9)",10,9,GridCellAgent,,,,,,,
"(10, 10)",10,10,GridCellAgent,,,,,,,
"(10, 11)",10,11,GridCellAgent,,,,,,,
"(11, 0)",11,0,GridCellAgent,,,,,,,
"(11, 1)",11,1,GridCellAgent,,,,,,,
"(11, 2)",11,2,GridCellAgent,,,,,,,
"(11, 3)",11,3,GridCellAgent,,,,,,,
"(11, 4)",11,4,GridCellAgent,,,,,,,
"(11, 5)",11,5,GridCellAgent,,,,,,,
"(11, 6)",11,6,GridCellAgent,,,,,,,
"(11, 7)",11,7,GridCellAgent,,,,,,,
"(11, 8)",11,8,GridCellAgent,,,,,,,
"(11, 9)",11,9,GridCellAgent,,,,,,,
"(11, 10)",11,10,GridCellAgent,,,,,,,
"(11, 11)",11,11,GridCellAgent,,,,,,,
"(11, 10)",11,10,ChargingStationAgent,,,,,,,
"(8, 3)",8,3,DroneAgent,exploring,,68.0,"(8, 2)",False,False,False
"(2, 11)",2,11,ChargingStationAgent,,,,,,,
"(9, 4)",9,4,DroneAgent,exploring,,68.0,"(8, 2)",False,False,False
"(0, 5)",0,5,ChargingStationAgent,,,,,,,
"(5, 1)",5,1,DroneAgent,exploring,,64.0,"(8, 2)",False,False,False
"(11, 1)",11,1,ChargingStationAgent,,,,,,,
"(9, 2)",9,2,DroneAgent,exploring,,63.0,"(8, 2)",False,False,False
"(7, 0)",7,0,ChargingStationAgent,,,,,,,
"(7, 0)",7,0,DroneAgent,exploring,,67.0,"(8, 2)",False,False,False
"(8, 2)",8,2,PalmAgent,verde,100.0,,,,,
"(8, 6)",8,6,PalmAgent,verde,100.0,,,,,
"(0, 0)",0,0,GridCellAgent,,,,,,,
"(0, 1)",0,1,GridCellAgent,,,,,,,
"(0, 2)",0,2,GridCellAgent,,,,,,,
"(0, 3)",0,3,GridCellAgent,,,,,,,
"(0, 4)",0,4,GridCellAgent,,,,,,,
"(0, 5)",0,5,GridCellAgent,,,,,,,
"(0, 6)",0,6,GridCellAgent,,,,,,,
"(0, 7)",0,7,GridCellAgent,,,,,,,
"(0, 8)",0,8,GridCellAgent,,,,,,,
"(0, 9)",0,9,GridCellAgent,,,,,,,
"(0, 10)",0,10,GridCellAgent,,,,,,,
"(0, 11)",0,11,GridCellAgent,,,,,,,
"(1, 0)",1,0,GridCellAgent,,,,,,,
"(1, 1)",1,1,GridCellAgent,,,,,,,
"(1, 2)",1,2,GridCellAgent,,,,,,,
"(1, 3)",1,3,GridCellAgent,,,,,,,
"(1, 4)",1,4,GridCellAgent,,,,,,,
"(1, 5)",1,5,GridCellAgent,,,,,,,
"(1, 6)",1,6,GridCellAgent,,,,,,,
"(1, 7)",1,7,GridCellAgent,,,,,,,
"(1, 8)",1,8,GridCellAgent,,,,,,,
"(1, 9)",1,9,GridCellAgent,,,,,,,
"(1, 10)",1,10,GridCellAgent,,,,,,,
"(1, 11)",1,11,GridCellAgent,,,,,,,
"(2, 0)",2,0,GridCellAgent,,,,,,,
"(2, 1)",2,1,GridCellAgent,,,,,,,
"(2, 2)",2,2,GridCellAgent,,,,,,,
"(2, 3)",2,3,GridCellAgent,,,,,,,
"(2, 4)",2,4,GridCellAgent,,,,,,,
"(2, 5)",2,5,GridCellAgent,,,,,,,
"(2, 6)",2,6,GridCellAgent,,,,,,,
"(2, 7)",2,7,GridCellAgent,,,,,,,
"(2, 8)",2,8,GridCellAgent,,,,,,,
"(2, 9)",2,9,GridCellAgent,,,,,,,
"(2, 10)",2,10,GridCellAgent,,,,,,,
"(2, 11)",2,11,GridCellAgent,,,,,,,
"(3, 0)",3,0,GridCellAgent,,,,,,,
"(3, 1)",3,1,GridCellAgent,,,,,,,
"(3, 2)",3,2,GridCellAgent,,,,,,,
"(3, 3)",3,3,GridCellAgent,,,,,,,
"(3, 4)",3,4,GridCellAgent,,,,,,,
"(3, 5)",3,5,GridCellAgent,,,,,,,
"(3, 6)",3,6,GridCellAgent,,,,,,,
"(3, 7)",3,7,GridCellAgent,,,,,,,
"(3, 8)",3,8,GridCellAgent,,,,,,,
"(3, 9)",3,9,GridCellAgent,,,,,,,
"(3, 10)",3,10,GridCellAgent,,,,,,,
"(3, 11)",3,11,GridCellAgent,,,,,,,
"(4, 0)",4,0,GridCellAgent,,,,,,,
"(4, 1)",4,1,GridCellAgent,,,,,,,
"(4, 2)",4,2,GridCellAgent,,,,,,,
"(4, 3)",4,3,GridCellAgent,,,,,,,
"(4, 4)",4,4,GridCellAgent,,,,,,,
"(4, 5)",4,5,GridCellAgent,,,,,,,
"(4, 6)",4,6,GridCellAgent,,,,,,,
"(4, 7)",4,7,GridCellAgent,,,,,,,
"(4, 8)",4,8,GridCellAgent,,,,,,,
"(4, 9)",4,9,GridCellAgent,,,,,,,
"(4, 10)",4,10,GridCellAgent,,,,,,,
"(4, 11)",4,11,GridCellAgent,,,,,,,
"(5, 0)",5,0,GridCellAgent,,,,,,,
"(5, 1)",5,1,GridCellAgent,,,,,,,
"(5, 2)",5,2,GridCellAgent,,,,,,,
"(5, 3)",5,3,GridCellAgent,,,,,,,
"(5, 4)",5,4,GridCellAgent,,,,,,,
"(5, 5)",5,5,GridCellAgent,,,,,,,
"(5, 6)",5,6,GridCellAgent,,,,,,,
"(5, 7)",5,7,GridCellAgent,,,,,,,
"(5, 8)",5,8,GridCellAgent,,,,,,,
"(5, 9)",5,9,GridCellAgent,,,,,,,
"(5, 10)",5,10,GridCellAgent,,,,,,,
"(5, 11)",5,11,GridCellAgent,,,,,,,
"(6, 0)",6,0,GridCellAgent,,,,,,,
"(6, 1)",6,1,GridCellAgent,,,,,,,
"(6, 2)",6,2,GridCellAgent,,,,,,,
"(6, 3)",6,3,GridCellAgent,,,,,,,
"(6, 4)",6,4,GridCellAgent,,,,,,,
"(6, 5)",6,5,GridCellAgent,,,,,,,
"(6, 6)",6,6,GridCellAgent,,,,,,,
"(6, 7)",6,7,GridCellAgent,,,,,,,
"(6, 8)",6,8,GridCellAgent,,,,,,,
"(6, 9)",6,9,GridCellAgent,,,,,,,
"(6, 10)",6,10,GridCellAgent,,,,,,,
"(6, 11)",6,11,GridCellAgent,,,,,,,
"(7, 0)",7,0,GridCellAgent,,,,,,,
"(7, 1)",7,1,GridCellAgent,,,,,,,
"(7, 2)",7,2,GridCellAgent,,,,,,,
"(7, 3)",7,3,GridCellAgent,,,,,,,
"(7, 4)",7,4,GridCellAgent,,,,,,,
"(7, 5)",7,5,GridCellAgent,,,,,,,
"(7, 6)",7,6,GridCellAgent,,,,,,,
"(7, 7)",7,7,GridCellAgent,,,,,,,
"(7, 8)",7,8,GridCellAgent,,,,,,,
"(7, 9)",7,9,GridCellAgent,,,,,,,
"(7, 10)",7,10,GridCellAgent,,,,,,,
"(7, 11)",7,11,GridCellAgent,,,,,,,
"(8, 0)",8,0,GridCellAgent,,,,,,,
"(8, 1)",8,1,GridCellAgent,,,,,,,
"(8, 2)",8,2,GridCellAgent,,,,,,,
"(8, 3)",8,3,GridCellAgent,,,,,,,
"(8, 4)",8,4,GridCellAgent,,,,,,,
"(8, 5)",8,5,GridCellAgent,,,,,,,
"(8, 6)",8,6,GridCellAgent,,,,,,,
"(8, 7)",8,7,GridCellAgent,,,,,,,
"(8, 8)",8,8,GridCellAgent,,,,,,,
"(8, 9)",8,9,GridCellAgent,,,,,,,
"(8, 10)",8,10,GridCellAgent,,,,,,,
"(8, 11)",8,11,GridCellAgent,,,,,,,
"(9, 0)",9,0,GridCellAgent,,,,,,,
"(9, 1)",9,1,GridCellAgent,,,,,,,
"(9, 2)",9,2,GridCellAgent,,,,,,,
"(9, 3)",9,3,GridCellAgent,,,,,,,
"(9, 4)",9,4,GridCellAgent,,,,,,,
"(9, 5)",9,5,GridCellAgent,,,,,,,
"(9, 6)",9,6,GridCellAgent,,,,,,,
"(9, 7)",9,7,GridCellAgent,,,,,,,
"(9, 8)",9,8,GridCellAgent,,,,,,,
"(9, 9)",9,9,GridCellAgent,,,,,,,
"(9, 10)",9,10,GridCellAgent,,,,,,,
"(9, 11)",9,11,GridCellAgent,,,,,,,
"(10, 0)",10,0,GridCellAgent,,,,,,,
"(10, 1)",10,1,GridCellAgent,,,,,,,
"(10, 2)",10,2,GridCellAgent,,,,,,,
"(10, 3)",10,3,GridCellAgent,,,,,,,
"(10, 4)",10,4,GridCellAgent,,,,,,,
"(10, 5)",10,5,GridCellAgent,,,,,,,
"(10, 6)",10,6,GridCellAgent,,,,,,,
"(10, 7)",10,7,GridCellAgent,,,,,,,
"(10, 8)",10,8,GridCellAgent,,,,,,,
"(10, 9)",10,9,GridCellAgent,,,,,,,
"(10, 10)",10,10,GridCellAgent,,,,,,,
"(10, 11)",10,11,GridCellAgent,,,,,,,
"(11, 0)",11,0,GridCellAgent,,,,,,,
"(11, 1)",11,1,GridCellAgent,,,,,,,
"(11, 2)",11,2,GridCellAgent,,,,,,,
"(11, 3)",11,3,GridCellAgent,,,,,,,
"(11, 4)",11,4,GridCellAgent,,,,,,,
"(11, 5)",11,5,GridCellAgent,,,,,,,
"(11, 6)",11,6,GridCellAgent,,,,,,,
"(11, 7)",11,7,GridCellAgent,,,,,,,
"(11, 8)",11,8,GridCellAgent,,,,,,,
"(11, 9)",11,9,GridCellAgent,,,,,,,
"(11, 10)",11,10,GridCellAgent,,,,,,,
"(11, 11)",11,11,GridCellAgent,,,,,,,
"(11, 10)",11,10,ChargingStationAgent,,,,,,,
"(7, 3)",7,3,DroneAgent,exploring,,67.0,"(8, 2)",False,False,False
"(2, 11)",2,11,ChargingStationAgent,,,,,,,
"(8, 4)",8,4,DroneAgent,exploring,,67.0,"(8, 2)",False,False,False
"(0, 5)",0,5,ChargingStationAgent,,,,,,,
"(4, 1)",4,1,DroneAgent,exploring,,63.0,"(8, 2)",False,False,False
"(11, 1)",11,1,ChargingStationAgent,,,,,,,
"(9, 1)",9,1,DroneAgent,exploring,,62.0,"(8, 2)",False,False,False
"(7, 0)",7,0,ChargingStationAgent,,,,,,,
"(6, 0)",6,0,DroneAgent,exploring,,66.0,"(8, 2)",False,False,False
"(8, 2)",8,2,PalmAgent,verde,100.0,,,,,
"(8, 6)",8,6,PalmAgent,verde,100.0,,,,,
"(0, 0)",0,0,GridCellAgent,,,,,,,
"(0, 1)",0,1,GridCellAgent,,,,,,,
"(0, 2)",0,2,GridCellAgent,,,,,,,
"(0, 3)",0,3,GridCellAgent,,,,,,,
"(0, 4)",0,4,GridCellAgent,,,,,,,
"(0, 5)",0,5,GridCellAgent,,,,,,,
"(0, 6)",0,6,GridCellAgent,,,,,,,
"(0, 7)",0,7,GridCellAgent,,,,,,,
"(0, 8)",0,8,GridCellAgent,,,,,,,
"(0, 9)",0,9,GridCellAgent,,,,,,,
"(0, 10)",0,10,GridCellAgent,,,,,,,
"(0, 11)",0,11,GridCellAgent,,,,,,,
"(1, 0)",1,0,GridCellAgent,,,,,,,
"(1, 1)",1,1,GridCellAgent,,,,,,,
"(1, 2)",1,2,GridCellAgent,,,,,,,
"(1, 3)",1,3,GridCellAgent,,,,,,,
"(1, 4)",1,4,GridCellAgent,,,,,,,
"(1, 5)",1,5,GridCellAgent,,,,,,,
"(1, 6)",1,6,GridCellAgent,,,,,,,
"(1, 7)",1,7,GridCellAgent,,,,,,,
"(1, 8)",1,8,GridCellAgent,,,,,,,
"(1, 9)",1,9,GridCellAgent,,,,,,,
"(1, 10)",1,10,GridCellAgent,,,,,,,
"(1, 11)",1,11,GridCellAgent,,,,,,,
"(2, 0)",2,0,GridCellAgent,,,,,,,
"(2, 1)",2,1,GridCellAgent,,,,,,,
"(2, 2)",2,2,GridCellAgent,,,,,,,
"(2, 3)",2,3,GridCellAgent,,,,,,,
"(2, 4)",2,4,GridCellAgent,,,,,,,
"(2, 5)",2,5,GridCellAgent,,,,,,,
"(2, 6)",2,6,GridCellAgent,,,,,,,
"(2, 7)",2,7,GridCellAgent,,,,,,,
"(2, 8)",2,8,GridCellAgent,,,,,,,
"(2, 9)",2,9,GridCellAgent,,,,,,,
"(2, 10)",2,10,GridCellAgent,,,,,,,
"(2, 11)",2,11,GridCellAgent,,,,,,,
"(3, 0)",3,0,GridCellAgent,,,,,,,
"(3, 1)",3,1,GridCellAgent,,,,,,,
"(3, 2)",3,2,GridCellAgent,,,,,,,
"(3, 3)",3,3,GridCellAgent,,,,,,,
"(3, 4)",3,4,GridCellAgent,,,,,,,
"(3, 5)",3,5,GridCellAgent,,,,,,,
"(3, 6)",3,6,GridCellAgent,,,,,,,
"(3, 7)",3,7,GridCellAgent,,,,,,,
"(3, 8)",3,8,GridCellAgent,,,,,,,
"(3, 9)",3,9,GridCellAgent,,,,,,,
"(3, 10)",3,10,GridCellAgent,,,,,,,
"(3, 11)",3,11,GridCellAgent,,,,,,,
"(4, 0)",4,0,GridCellAgent,,,,,,,
"(4, 1)",4,1,GridCellAgent,,,,,,,
"(4, 2)",4,2,GridCellAgent,,,,,,,
"(4, 3)",4,3,GridCellAgent,,,,,,,
"(4, 4)",4,4,GridCellAgent,,,,,,,
"(4, 5)",4,5,GridCellAgent,,,,,,,
"(4, 6)",4,6,GridCellAgent,,,,,,,
"(4, 7)",4,7,GridCellAgent,,,,,,,
"(4, 8)",4,8,GridCellAgent,,,,,,,
"(4, 9)",4,9,GridCellAgent,,,,,,,
"(4, 10)",4,10,GridCellAgent,,,,,,,
"(4, 11)",4,11,GridCellAgent,,,,,,,
"(5, 0)",5,0,GridCellAgent,,,,,,,
"(5, 1)",5,1,GridCellAgent,,,,,,,
"(5, 2)",5,2,GridCellAgent,,,,,,,
"(5, 3)",5,3,GridCellAgent,,,,,,,
"(5, 4)",5,4,GridCellAgent,,,,,,,
"(5, 5)",5,5,GridCellAgent,,,,,,,
"(5, 6)",5,6,GridCellAgent,,,,,,,
"(5, 7)",5,7,GridCellAgent,,,,,,,
"(5, 8)",5,8,GridCellAgent,,,,,,,
"(5, 9)",5,9,GridCellAgent,,,,,,,
"(5, 10)",5,10,GridCellAgent,,,,,,,
"(5, 11)",5,11,GridCellAgent,,,,,,,
"(6, 0)",6,0,GridCellAgent,,,,,,,
"(6, 1)",6,1,GridCellAgent,,,,,,,
"(6, 2)",6,2,GridCellAgent,,,,,,,
"(6, 3)",6,3,GridCellAgent,,,,,,,
"(6, 4)",6,4,GridCellAgent,,,,,,,
"(6, 5)",6,5,GridCellAgent,,,,,,,
"(6, 6)",6,6,GridCellAgent,,,,,,,
"(6, 7)",6,7,GridCellAgent,,,,,,,
"(6, 8)",6,8,GridCellAgent,,,,,,,
"(6, 9)",6,9,GridCellAgent,,,,,,,
"(6, 10)",6,10,GridCellAgent,,,,,,,
"(6, 11)",6,11,GridCellAgent,,,,,,,
"(7, 0)",7,0,GridCellAgent,,,,,,,
"(7, 1)",7,1,GridCellAgent,,,,,,,
"(7, 2)",7,2,GridCellAgent,,,,,,,
"(7, 3)",7,3,GridCellAgent,,,,,,,
"(7, 4)",7,4,GridCellAgent,,,,,,,
"(7, 5)",7,5,GridCellAgent,,,,,,,
"(7, 6)",7,6,GridCellAgent,,,,,,,
"(7, 7)",7,7,GridCellAgent,,,,,,,
"(7, 8)",7,8,GridCellAgent,,,,,,,
"(7, 9)",7,9,GridCellAgent,,,,,,,
"(7, 10)",7,10,GridCellAgent,,,,,,,
"(7, 11)",7,11,GridCellAgent,,,,,,,
"(8, 0)",8,0,GridCellAgent,,,,,,,
"(8, 1)",8,1,GridCellAgent,,,,,,,
"(8, 2)",8,2,GridCellAgent,,,,,,,
"(8, 3)",8,3,GridCellAgent,,,,,,,
"(8, 4)",8,4,GridCellAgent,,,,,,,
"(8, 5)",8,5,GridCellAgent,,,,,,,
"(8, 6)",8,6,GridCellAgent,,,,,,,
"(8, 7)",8,7,GridCellAgent,,,,,,,
"(8, 8)",8,8,GridCellAgent,,,,,,,
"(8, 9)",8,9,GridCellAgent,,,,,,,
"(8, 10)",8,10,GridCellAgent,,,,,,,
"(8, 11)",8,11,GridCellAgent,,,,,,,
"(9, 0)",9,0,GridCellAgent,,,,,,,
"(9, 1)",9,1,GridCellAgent,,,,,,,
"(9, 2)",9,2,GridCellAgent,,,,,,,
"(9, 3)",9,3,GridCellAgent,,,,,,,
"(9, 4)",9,4,GridCellAgent,,,,,,,
"(9, 5)",9,5,GridCellAgent,,,,,,,
"(9, 6)",9,6,GridCellAgent,,,,,,,
"(9, 7)",9,7,GridCellAgent,,,,,,,
"(9, 8)",9,8,GridCellAgent,,,,,,,
"(9, 9)",9,9,GridCellAgent,,,,,,,
"(9, 10)",9,10,GridCellAgent,,,,,,,
"(9, 11)",9,11,GridCellAgent,,,,,,,
"(10, 0)",10,0,GridCellAgent,,,,,,,
"(10, 1)",10,1,GridCellAgent,,,,,,,
"(10, 2)",10,2,GridCellAgent,,,,,,,
"(10, 3)",10,3,GridCellAgent,,,,,,,
"(10, 4)",10,4,GridCellAgent,,,,,,,
"(10, 5)",10,5,GridCellAgent,,,,,,,
"(10, 6)",10,6,GridCellAgent,,,,,,,
"(10, 7)",10,7,GridCellAgent,,,,,,,
"(10, 8)",10,8,GridCellAgent,,,,,,,
"(10, 9)",10,9,GridCellAgent,,,,,,,
"(10, 10)",10,10,GridCellAgent,,,,,,,
"(10, 11)",10,11,GridCellAgent,,,,,,,
"(11, 0)",11,0,GridCellAgent,,,,,,,
"(11, 1)",11,1,GridCellAgent,,,,,,,
"(11, 2)",11,2,GridCellAgent,,,,,,,
"(11, 3)",11,3,GridCellAgent,,,,,,,
"(11, 4)",11,4,GridCellAgent,,,,,,,
"(11, 5)",11,5,GridCellAgent,,,,,,,
"(11, 6)",11,6,GridCellAgent,,,,,,,
"(11, 7)",11,7,GridCellAgent,,,,,,,
"(11, 8)",11,8,GridCellAgent,,,,,,,
"(11, 9)",11,9,GridCellAgent,,,,,,,
"(11, 10)",11,10,GridCellAgent,,,,,,,
"(11, 11)",11,11,GridCellAgent,,,,,,,
"(11, 10)",11,10,ChargingStationAgent,,,,,,,
"(8, 3)",8,3,DroneAgent,exploring,,66.0,"(8, 2)",False,False,False
"(2, 11)",2,11,ChargingStationAgent,,,,,,,
"(7, 4)",7,4,DroneAgent,exploring,,66.0,"(8, 2)",False,False,False
"(0, 5)",0,5,ChargingStationAgent,,,,,,,
"(3, 1)",3,1,DroneAgent,exploring,,62.0,"(8, 2)",False,False,False
"(11, 1)",11,1,ChargingStationAgent,,,,,,,
"(9, 0)",9,0,DroneAgent,exploring,,61.0,"(8, 2)",False,False,False
"(7, 0)",7,0,ChargingStationAgent,,,,,,,
"(5, 0)",5,0,DroneAgent,exploring,,65.0,"(8, 2)",False,False,False
"(8, 2)",8,2,PalmAgent,verde,100.0,,,,,
"(8, 6)",8,6,PalmAgent,verde,100.0,,,,,
"(0, 0)",0,0,GridCellAgent,,,,,,,
"(0, 1)",0,1,GridCellAgent,,,,,,,
"(0, 2)",0,2,GridCellAgent,,,,,,,
"(0, 3)",0,3,GridCellAgent,,,,,,,
"(0, 4)",0,4,GridCellAgent,,,,,,,
"(0, 5)",0,5,GridCellAgent,,,,,,,
"(0, 6)",0,6,GridCellAgent,,,,,,,
"(0, 7)",0,7,GridCellAgent,,,,,,,
"(0, 8)",0,8,GridCellAgent,,,,,,,
"(0, 9)",0,9,GridCellAgent,,,,,,,
"(0, 10)",0,10,GridCellAgent,,,,,,,
"(0, 11)",0,11,GridCellAgent,,,,,,,
"(1, 0)",1,0,GridCellAgent,,,,,,,
"(1, 1)",1,1,GridCellAgent,,,,,,,
"(1, 2)",1,2,GridCellAgent,,,,,,,
"(1, 3)",1,3,GridCellAgent,,,,,,,
"(1, 4)",1,4,GridCellAgent,,,,,,,
"(1, 5)",1,5,GridCellAgent,,,,,,,
"(1, 6)",1,6,GridCellAgent,,,,,,,
"(1, 7)",1,7,GridCellAgent,,,,,,,
"(1, 8)",1,8,GridCellAgent,,,,,,,
"(1, 9)",1,9,GridCellAgent,,,,,,,
"(1, 10)",1,10,GridCellAgent,,,,,,,
"(1, 11)",1,11,GridCellAgent,,,,,,,
"(2, 0)",2,0,GridCellAgent,,,,,,,
"(2, 1)",2,1,GridCellAgent,,,,,,,
"(2, 2)",2,2,GridCellAgent,,,,,,,
"(2, 3)",2,3,GridCellAgent,,,,,,,
"(2, 4)",2,4,GridCellAgent,,,,,,,
"(2, 5)",2,5,GridCellAgent,,,,,,,
"(2, 6)",2,6,GridCellAgent,,,,,,,
"(2, 7)",2,7,GridCellAgent,,,,,,,
"(2, 8)",2,8,GridCellAgent,,,,,,,
"(2, 9)",2,9,GridCellAgent,,,,,,,
"(2, 10)",2,10,GridCellAgent,,,,,,,
"(2, 11)",2,11,GridCellAgent,,,,,,,
"(3, 0)",3,0,GridCellAgent,,,,,,,
"(3, 1)",3,1,GridCellAgent,,,,,,,
"(3, 2)",3,2,GridCellAgent,,,,,,,
"(3, 3)",3,3,GridCellAgent,,,,,,,
"(3, 4)",3,4,GridCellAgent,,,,,,,
"(3, 5)",3,5,GridCellAgent,,,,,,,
"(3, 6)",3,6,GridCellAgent,,,,,,,
"(3, 7)",3,7,GridCellAgent,,,,,,,
"(3, 8)",3,8,GridCellAgent,,,,,,,
"(3, 9)",3,9,GridCellAgent,,,,,,,
"(3, 10)",3,10,GridCellAgent,,,,,,,
"(3, 11)",3,11,GridCellAgent,,,,,,,
"(4, 0)",4,0,GridCellAgent,,,,,,,
"(4, 1)",4,1,GridCellAgent,,,,,,,
"(4, 2)",4,2,GridCellAgent,,,,,,,
"(4, 3)",4,3,GridCellAgent,,,,,,,
"(4, 4)",4,4,GridCellAgent,,,,,,,
"(4, 5)",4,5,GridCellAgent,,,,,,,
"(4, 6)",4,6,GridCellAgent,,,,,,,
"(4, 7)",4,7,GridCellAgent,,,,,,,
"(4, 8)",4,8,GridCellAgent,,,,,,,
"(4, 9)",4,9,GridCellAgent,,,,,,,
"(4, 10)",4,10,GridCellAgent,,,,,,,
"(4, 11)",4,11,GridCellAgent,,,,,,,
"(5, 0)",5,0,GridCellAgent,,,,,,,
"(5, 1)",5,1,GridCellAgent,,,,,,,
"(5, 2)",5,2,GridCellAgent,,,,,,,
"(5, 3)",5,3,GridCellAgent,,,,,,,
"(5, 4)",5,4,GridCellAgent,,,,,,,
"(5, 5)",5,5,GridCellAgent,,,,,,,
"(5, 6)",5,6,GridCellAgent,,,,,,,
"(5, 7)",5,7,GridCellAgent,,,,,,,
"(5, 8)",5,8,GridCellAgent,,,,,,,
"(5, 9)",5,9,GridCellAgent,,,,,,,
"(5, 10)",5,10,GridCellAgent,,,,,,,
"(5, 11)",5,11,GridCellAgent,,,,,,,
"(6, 0)",6,0,GridCellAgent,,,,,,,
"(6, 1)",6,1,GridCellAgent,,,,,,,
"(6, 2)",6,2,GridCellAgent,,,,,,,
"(6, 3)",6,3,GridCellAgent,,,,,,,
"(6, 4)",6,4,GridCellAgent,,,,,,,
"(6, 5)",6,5,GridCellAgent,,,,,,,
"(6, 6)",6,6,GridCellAgent,,,,,,,
"(6, 7)",6,7,GridCellAgent,,,,,,,
"(6, 8)",6,8,GridCellAgent,,,,,,,
"(6, 9)",6,9,GridCellAgent,,,,,,,
"(6, 10)",6,10,GridCellAgent,,,,,,,
"(6, 11)",6,11,GridCellAgent,,,,,,,
"(7, 0)",7,0,GridCellAgent,,,,,,,
"(7, 1)",7,1,GridCellAgent,,,,,,,
"(7, 2)",7,2,GridCellAgent,,,,,,,
"(7, 3)",7,3,GridCellAgent,,,,,,,
"(7, 4)",7,4,GridCellAgent,,,,,,,
"(7, 5)",7,5,GridCellAgent,,,,,,,
"(7, 6)",7,6,GridCellAgent,,,,,,,
"(7, 7)",7,7,GridCellAgent,,,,,,,
"(7, 8)",7,8,GridCellAgent,,,,,,,
"(7, 9)",7,9,GridCellAgent,,,,,,,
"(7, 10)",7,10,GridCellAgent,,,,,,,
"(7, 11)",7,11,GridCellAgent,,,,,,,
"(8, 0)",8,0,GridCellAgent,,,,,,,
"(8, 1)",8,1,GridCellAgent,,,,,,,
"(8, 2)",8,2,GridCellAgent,,,,,,,
"(8, 3)",8,3,GridCellAgent,,,,,,,
"(8, 4)",8,4,GridCellAgent,,,,,,,
"(8, 5)",8,5,GridCellAgent,,,,,,,
"(8, 6)",8,6,GridCellAgent,,,,,,,
"(8, 7)",8,7,GridCellAgent,,,,,,,
"(8, 8)",8,8,GridCellAgent,,,,,,,
"(8, 9)",8,9,GridCellAgent,,,,,,,
"(8, 10)",8,10,GridCellAgent,,,,,,,
"(8, 11)",8,11,GridCellAgent,,,,,,,
"(9, 0)",9,0,GridCellAgent,,,,,,,
"(9, 1)",9,1,GridCellAgent,,,,,,,
"(9, 2)",9,2,GridCellAgent,,,,,,,
"(9, 3)",9,3,GridCellAgent,,,,,,,
"(9, 4)",9,4,GridCellAgent,,,,,,,
"(9, 5)",9,5,GridCellAgent,,,,,,,
"(9, 6)",9,6,GridCellAgent,,,,,,,
"(9, 7)",9,7,GridCellAgent,,,,,,,
"(9, 8)",9,8,GridCellAgent,,,,,,,
"(9, 9)",9,9,GridCellAgent,,,,,,,
"(9, 10)",9,10,GridCellAgent,,,,,,,
"(9, 11)",9,11,GridCellAgent,,,,,,,
"(10, 0)",10,0,GridCellAgent,,,,,,,
"(10, 1)",10,1,GridCellAgent,,,,,,,
"(10, 2)",10,2,GridCellAgent,,,,,,,
"(10, 3)",10,3,GridCellAgent,,,,,,,
"(10, 4)",10,4,GridCellAgent,,,,,,,
"(10, 5)",10,5,GridCellAgent,,,,,,,
"(10, 6)",10,6,GridCellAgent,,,,,,,
"(10, 7)",10,7,GridCellAgent,,,,,,,
"(10, 8)",10,8,GridCellAgent,,,,,,,
"(10, 9)",10,9,GridCellAgent,,,,,,,
"(10, 10)",10,10,GridCellAgent,,,,,,,
"(10, 11)",10,11,GridCellAgent,,,,,,,
"(11, 0)",11,0,GridCellAgent,,,,,,,
"(11, 1)",11,1,GridCellAgent,,,,,,,
"(11, 2)",11,2,GridCellAgent,,,,,,,
"(11, 3)",11,3,GridCellAgent,,,,,,,
"(11, 4)",11,4,GridCellAgent,,,,,,,
